Serial No,name,link,indice_type,symbol
0,Nifty 50 Index,https://www.nseindia.com/products-services/indices-nifty50-index,Broad Market,^NSEI
1,Nifty Next 50 Index,https://www.nseindia.com/products-services/indices-niftynext50-index,Broad Market,^NSENEXT50
2,Nifty 100 Index,https://www.nseindia.com/products-services/indices-nifty100-index,Broad Market,^NSE100
3,Nifty 200 Index,https://www.nseindia.com/products-services/indices-nifty200-index,Broad Market,^NSE200
4,Nifty Total Market Index,https://www.nseindia.com/products-services/indices-nifty-total-market-index,Broad Market,^NSETOTAL
5,Nifty 500 Index,https://www.nseindia.com/products-services/indices-nifty500-index,Broad Market,^NSE500
6,Nifty 500 Multicap 50:25:25 Index,https://www.nseindia.com/products-services/indices-nifty500-multicap-50-25-25-index,Broad Market,^NSE500_50_25_25
7,Nifty500 LargeMidSmall Equal-Cap Weighted,https://niftyindices.com/indices/equity/broad-based-indices/nifty500-largemidsmall-equal-cap-weighted,Broad Market,
8,Nifty Midcap150 Index,https://www.nseindia.com/products-services/indices-niftymidcap150-index,Broad Market,
9,Nifty Midcap 50 Index,https://www.nseindia.com/products-services/indices-niftymidcap50-index,Broad Market,^NSEMIDCAP50
10,Nifty Midcap Select Index,https://www.nseindia.com/products-services/indices-niftymidcap-select-index,Broad Market,^NSEMIDCAPSELECT
11,Nifty Midcap 100 Index,https://www.nseindia.com/products-services/indices-niftymidcap100-index,Broad Market,^NSEMIDCAP100
12,Nifty Smallcap 250 Index,https://www.nseindia.com/products-services/indices-niftysmallcap250-index,Broad Market,^NSESMLCAP250
13,Nifty Smallcap 50 Index,https://www.nseindia.com/products-services/indices-niftysmallcap50-index,Broad Market,^NSESMLCAP50
14,Nifty Smallcap 100 Index,https://www.nseindia.com/products-services/indices-niftysmallcap100-index,Broad Market,^NSESMLCAP100
15,Nifty Microcap 250 Index,https://www.nseindia.com/products-services//indices-nifty-microcap-250-index,Broad Market,^NSEMICROCAP250
16,Nifty LargeMidcap 250 Index,https://www.nseindia.com/products-services/indices-niftylargemidcap250-index,Broad Market,^NSELMIDCAP250
17,Nifty MidSmallcap 400 Index,https://www.nseindia.com/products-services/indices-niftymidsmallcap400-index,Broad Market,^NSEMIDSMALLCAP400
18,India Vix Index,https://www.nseindia.com/products-services/indices-indiavix-index,Broad Market,^INDIAVIX
19,Nifty Auto Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-auto,Sectoral,^NSEAUTO
20,Nifty Bank Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-bank,Sectoral,^NSEBANK
21,Nifty Financial Services Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-financial-services,Sectoral,^NSEFIN
22,Nifty Financial Services 25/50 Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-financial-services-25-50-index,Sectoral,^NSEFIN25_50
23,Nifty Financial Services Ex-Bank index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-financial-services-ex-bank,Sectoral,
24,Nifty FMCG Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-fmcg,Sectoral,^NSEFMCG
25,Nifty Healthcare Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-healthcare-index,Sectoral,^NSEHEALTHCARE
26,Nifty IT Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-it,Sectoral,^NSEIT
27,Nifty Media Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-media,Sectoral,^NSEMEDIA
28,Nifty Metal Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-metal,Sectoral,^NSEMETAL
29,Nifty Pharma Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-pharma,Sectoral,^NSEPHARMA
30,Nifty Private Bank Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-private-bank,Sectoral,^NSEPRIVBANK
31,Nifty PSU Bank Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-psu-bank,Sectoral,^NSEPSUBANK
32,Nifty Realty Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-realty,Sectoral,^NSEREALTY
33,Nifty Consumer Durables Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-consumer-durables-index,Sectoral,^NSECONSDUR
34,Nifty Oil and Gas Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-oil-and-gas-index,Sectoral,^NSEOILGAS
35,Nifty MidSmall Financial Services Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-midsmall-financial-services,Sectoral,^NSEMIDSMALL_FIN
36,Nifty MidSmall Healthcare Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-midsmall-healthcare,Sectoral,^NSEMIDSMALL_HEALTH
37,Nifty MidSmall IT & Telecom Index,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-midsmall-it-telecom,Sectoral,^NSEMIDSMALL_IT_TELE
38,Nifty Commodities Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-commodities,Thematic,^NSECOMMODITIES
39,Nifty Core Housing Index,https://niftyindices.com/indices/equity/thematic-indices/nifty-core-housing,Thematic,^NSECOREHOUSING
40,Nifty CPSE Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-cpse,Thematic,^NSECPSE
41,NiftyÂ EV & New Age Automotive Index,https://niftyindices.com/indices/equity/thematic-indices/nifty-ev-new-age-automotive,Thematic,
42,Nifty Energy Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-energy,Thematic,^NSEEENERGY
43,Nifty Housing Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-housing,Thematic,^NSEHOUSING
44,Nifty India Consumption Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-consumption,Thematic,^NSEINDIACONSUMPTION
45,Nifty India Defence,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-defence,Thematic,^NSEINDIADEFENCE
46,Nifty India Digital,https://niftyindices.com/indices/equity/thematic-indices/nifty-india-digital,Thematic,^NSEINDIADIGITAL
47,Nifty India Manufacturing Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-manufacturing,Thematic,^NSEINDIAMFG
